BCL6-HDAC4 complex;BCL6,HDAC4
BCL6-HDAC5 complex;BCL6,HDAC5
BCL6-HDAC7 complex;BCL6,HDAC7
Multisubunit ACTR coactivator complex;EP300,CREBBP,KAT2B,NCOA3
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex;Ahr,Arnt
Condensin I complex;SMC2,NCAPH,NCAPD2,NCAPG,SMC4
BLOC-3 (biogenesis of lysosome-related organelles complex 3);HPS1,HPS4
BLOC-2 (biogenesis of lysosome-related organelles complex 2);Hps5,Hps6,Hps3
MUS81-CDS1 complex;CDS1,MUS81
NCOR complex;HDAC3,TBL1X,NCOR1,GPS2,CORO2A,TBL1XR1
BLOC-1 (biogenesis of lysosome-related organelles complex 1);Bloc1s1,Bloc1s3,Bloc1s5,Bloc1s4,Dtnbp1,Bloc1s2,Bloc1s6,Snapin
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex;Aip,Hsp90aa1,Hsp90ab1,Ahr
Bestrophin-protein phosphatase 2A complex;PPP2R1A,PPP2CA,BEST1
Arp2/3 protein complex;ARPC1B,ARPC2,ARPC3,ARPC5,ARPC4,ACTR3,ACTR2
Modulator;PSMC6,PSMD9,PSMC3
PA28gamma complex;PSME3
PA28 complex;PSME1,PSME2
PA700 complex;PSMD11,PSMD12,PSMD9,PSMD14,PSMD3,PSMD10,PSMC3,PSMC2,PSMC4,PSMD8,PSMD7,PSMD4,PSMC1,PSMC5,PSMC6,PSMD2,PSMD6,PSMD5,PSMD1,PSMD13
Prefoldin complex;PFDN6,PFDN1,VBP1,PFDN5,PFDN4,PFDN2
Aqp4-Dag1-Dmd-Snta1 complex;Dmd,Aqp4,Snta1,Dag1
AP1 adaptor complex;AP1G1,AP1G2,AP1S2,AP1S1,AP1B1,AP1S3,AP1M1,AP1M2
Harmonin-CAD23 complex;CDH23,USH1C
20S proteasome;PSMA7,PSMB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMB4,PSMB6,PSMB5,PSMB3,PSMB2,PSMA6,PSMB7
Immunoproteasome;Psmb1,Psmb10,Psma3,Psmb8,Psmb9,Psma2,Psmb4,Psma6,Psma4,Psmb3,Psmb2,Psma1,Psma7,Psma5
COP9 signalosome complex (Gps1, Cops1, Cops2, Cops3, Cops4, Cops5, Cops6, Cops7a, Cops8);Cops5,Cops3,Cops4,Cops6,Cops2,Cops8,Gps1,Cops7a
Mi-2/NuRD-MTA3 complex;MTA2,MBD3,BCL6,HDAC1,MTA3
Cask-Mint-Veli tripartite complex;Apba1,Cask,Lin7a
Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN);PSEN1,NCSTN,APH1A,PSENEN
CASK-MINT complex;Apba1,Cask
